name,iata_code,iso_region,type
Vermilion Airport,YVG,CA-AB,small_airport
Vernon Airport,YVE,CA-BC,medium_airport
Tommy Kochon Airport,YCK,CA-NT,small_airport
Qikiqtarjuaq Airport,YVM,CA-NU,medium_airport
Val-d'Or Airport,YVO,CA-QC,medium_airport
Kuujjuaq Airport,YVP,CA-QC,medium_airport
Norman Wells Airport,YVQ,CA-NT,medium_airport
Vancouver International Airport,YVR,CA-BC,large_airport
Buffalo Narrows Airport,YVT,CA-SK,small_airport
Wiarton Airport,YVV,CA-ON,medium_airport
Deer Lake Airport,YVZ,CA-ON,medium_airport
Petawawa Airport,YWA,CA-ON,medium_airport
Winnipeg / James Armstrong Richardson International Airport,YWG,CA-MB,large_airport
Victoria Harbour Seaplane Base,YWH,CA-BC,seaplane_base
D̩line Airport,YWJ,CA-NT,medium_airport
Wabush Airport,YWK,CA-NL,medium_airport
Williams Lake Airport,YWL,CA-BC,medium_airport
Webequie Airport,YWP,CA-ON,medium_airport
Wrigley Airport,YWY,CA-NT,medium_airport
Cranbrook/Canadian Rockies International Airport,YXC,CA-BC,medium_airport
Edmonton City Centre (Blatchford Field) Airport,YXD,CA-AB,closed
Saskatoon John G. Diefenbaker International Airport,YXE,CA-SK,medium_airport
Medicine Hat Airport,YXH,CA-AB,medium_airport
Bonnechere Airport,YXI,CA-ON,closed
Fort St John Airport,YXJ,CA-BC,medium_airport
Rimouski Airport,YXK,CA-QC,medium_airport
Sioux Lookout Airport,YXL,CA-ON,medium_airport
Whale Cove Airport,YXN,CA-NU,medium_airport
Pangnirtung Airport,YXP,CA-NU,medium_airport
Beaver Creek Airport,YXQ,CA-YT,medium_airport
Earlton (Timiskaming Regional) Airport,YXR,CA-ON,medium_airport
Prince George Airport,YXS,CA-BC,medium_airport
Northwest Regional Airport Terrace-Kitimat,YXT,CA-BC,medium_airport
London Airport,YXU,CA-ON,medium_airport
Abbotsford Airport,YXX,CA-BC,medium_airport
Whitehorse / Erik Nielsen International Airport,YXY,CA-YT,medium_airport
Wawa Airport,YXZ,CA-ON,medium_airport
North Bay Jack Garland Airport,YYB,CA-ON,medium_airport
Calgary International Airport,YYC,CA-AB,large_airport
Smithers Airport,YYD,CA-BC,medium_airport
Fort Nelson Airport,YYE,CA-BC,medium_airport
Penticton Airport,YYF,CA-BC,medium_airport
Charlottetown Airport,YYG,CA-PE,medium_airport
Taloyoak Airport,YYH,CA-NU,medium_airport
Victoria International Airport,YYJ,CA-BC,large_airport
Lynn Lake Airport,YYL,CA-MB,medium_airport
Cowley Airport,YYM,CA-AB,small_airport
Swift Current Airport,YYN,CA-SK,medium_airport
Churchill Airport,YYQ,CA-MB,medium_airport
Goose Bay Airport,YYR,CA-NL,medium_airport
St. John's International Airport,YYT,CA-NL,large_airport
Kapuskasing Airport,YYU,CA-ON,medium_airport
Armstrong Airport,YYW,CA-ON,medium_airport
Mont Joli Airport,YYY,CA-QC,medium_airport
Lester B. Pearson International Airport,YYZ,CA-ON,large_airport
Gore Bay Manitoulin Airport,YZE,CA-ON,medium_airport
Yellowknife Airport,YZF,CA-NT,medium_airport
Salluit Airport,YZG,CA-QC,medium_airport
Slave Lake Airport,YZH,CA-AB,medium_airport
Sandspit Airport,YZP,CA-BC,medium_airport
Chris Hadfield Airport,YZR,CA-ON,medium_airport
Coral Harbour Airport,YZS,CA-NU,medium_airport
